SITE_ID,LOCATION_LAT,LOCATION_LONG,LOCATION_MODIS_X,LOCATION_MODIS_Y
CR-SoC,10.3827,-84.621,-9255365.742982864,1154504.866157988
PR-xGU,17.9696,-66.8687,-7072768.948312534,1998130.6059996516
PR-xLA,18.0212,-67.0769,-7092715.266747564,2003868.270681647
US-GLE,41.3665,-106.2399,-8865891.733924054,4599750.1175921885
US-HWB,40.8608,-77.8488,-6546847.13309536,4543518.779807595
US-Ro1,44.7143,-93.0898,-7355756.892291292,4972008.912599625
US-Ro2,44.7288,-93.0888,-7353834.589978453,4973621.240853286
US-Ro4,44.6781,-93.0723,-7358973.06293161,4967983.65171807
US-Ro5,44.691,-93.0576,-7356172.505404557,4969418.067888569
US-Ro6,44.6946,-93.0578,-7355731.056563562,4969818.370075685
US-UiA,40.0646,-88.1961,-7505462.6162660895,4454985.279423784
US-UiB,40.0628,-88.1984,-7505856.652723725,4454785.128330227
US-UiC,40.0647,-88.1983,-7505638.818363088,4454996.398928982
US-xAB,45.7624,-122.3303,-9489602.601871613,5088552.446576354
US-xAE,35.4106,-99.0588,-8977328.49523298,3937483.507524445
US-xBA,71.2824,-156.6194,-5588639.089506297,7926250.17302052
US-xBL,39.0603,-78.0716,-6740787.140589674,4343312.0887236325
US-xBN,65.154,-147.5026,-6891619.602342498,7244802.416486804
US-xBR,44.0639,-71.2873,-5695914.494893577,4899687.65079401
US-xCL,33.4012,-97.57,-9057390.856352957,3714048.17008256
US-xCP,40.8155,-104.7456,-8814807.921340043,4538481.643953052
US-xDC,47.1617,-99.1066,-7492957.67254899,5244147.682807284
US-xDJ,63.8811,-145.7514,-7134821.875771141,7103262.234825725
US-xDL,32.5417,-87.8039,-8230513.530601566,3618476.022908626
US-xDS,28.125,-81.4362,-7986063.822608357,3127360.8368433462
US-xGR,35.689,-83.5019,-7541234.089614248,3968440.209994745
US-xHA,42.5369,-72.1727,-5913339.8338858355,4729892.806425662
US-xHE,63.8757,-149.2133,-7305692.8097956935,7102661.78154505
US-xJE,31.1948,-84.4686,-8034442.125637058,3468707.407401274
US-xJR,32.5907,-106.8425,-10009674.3353323,3623924.5804554825
US-xKA,39.1104,-96.6129,-8335740.714836916,4348882.960827663
US-xKZ,39.1008,-96.5631,-8332578.740362092,4347815.488328687
US-xLE,31.8539,-88.1612,-8326710.5769721875,3541996.066159085
US-xMB,38.2483,-109.3883,-9552376.99138365,4253021.706518591
US-xML,37.3783,-80.5248,-7115215.41372478,4156282.0112989037
US-xNG,46.7697,-100.9154,-7685828.5279286215,5200559.222432436
US-xNQ,40.1776,-112.4524,-9553775.083708735,4467550.320297146
US-xNW,40.0543,-105.5824,-8986390.020146545,4453839.970388425
US-xPU,19.5531,-155.3173,-16274554.409779951,2174207.9708046806
US-xRM,40.2759,-105.5459,-8954006.299459023,4478480.793906451
US-xRN,35.9641,-84.2826,-7585402.070219445,3999029.968793522
US-xSB,29.6893,-81.9934,-7920383.1416708715,3301303.256650423
US-xSC,38.8929,-78.1395,-6762617.36657965,4324698.037022741
US-xSE,38.8901,-76.56,-6626180.047269617,4324386.690877207
US-xSJ,37.1088,-119.7323,-10617511.175282246,4126314.9447911954
US-xSL,40.4619,-103.0293,-8716421.298735982,4499163.073574109
US-xSP,37.0334,-119.2622,-10586344.042098146,4117930.837872156
US-xSR,31.9107,-110.8355,-10461815.590927493,3548311.945111359
US-xST,45.5089,-89.5864,-6981049.029483226,5060364.500900272
US-xTA,32.9505,-87.3933,-8154520.575655313,3663932.560156682
US-xTE,37.0058,-119.006,-10567440.33800708,4114861.854437601
US-xTL,68.6611,-149.3705,-6043839.213917741,7634774.583274122
US-xTR,45.4937,-89.5857,-6982879.4187818235,5058674.336110228
US-xUK,39.0404,-95.1921,-8221305.9051707685,4341099.307189297
US-xUN,46.2339,-89.5373,-6886797.050228662,5140980.913583346
US-xWD,47.1282,-99.2414,-7507879.108870488,5240422.648566066
US-xWR,45.8205,-121.9519,-9450392.095551675,5095012.879096198
US-xYE,44.9535,-110.5391,-8698383.808571806,4998606.76903244
